City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
159,Busselton,AU,-33.65,115.3333,70.0,65,0,3.0,clear sky
160,Juneau,US,58.3019,-134.4197,33.8,32,1,24.16,clear sky
161,Nanakuli,US,21.3906,-158.1547,80.6,54,1,9.22,clear sky
162,Luba,GQ,3.4568,8.5547,78.8,83,20,4.61,few clouds
163,Haines Junction,CA,60.7522,-137.5108,-2.2,50,0,3.44,clear sky
164,North Bend,US,43.4065,-124.2243,50.0,93,90,9.22,mist
165,Twante,MM,16.7167,95.9333,68.0,88,24,2.3,few clouds
166,Whitley Bay,GB,55.0397,-1.4471,32.0,59,90,9.22,overcast clouds
167,La Orilla,MX,17.9833,-102.2333,72.25,71,1,8.5,clear sky
168,Pacific Grove,US,36.6177,-121.9166,55.0,82,75,4.61,broken clouds
169,Mount Isa,AU,-20.7333,139.5,91.4,49,75,10.36,broken clouds
170,Arcos De La Frontera,ES,36.7508,-5.8106,53.01,100,28,2.3,scattered clouds
171,Leeton,AU,-34.5667,146.4,75.0,43,0,13.8,clear sky
172,Puerto Escondido,MX,15.85,-97.0667,78.8,78,40,3.44,scattered clouds
173,Abdanan,IR,32.9926,47.4198,48.24,50,0,1.99,clear sky
174,Broome,US,42.2506,-75.833,15.8,48,90,4.61,overcast clouds
175,Hovd,MN,48.0056,91.6419,3.27,90,0,1.34,clear sky
176,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,75,9.22,light rain
177,Broken Hill,AU,-31.95,141.4333,66.2,48,0,18.41,clear sky
178,Provideniya,RU,64.3833,-173.3,-0.35,89,100,30.4,light snow
179,Pangkalanbuun,ID,-2.6833,111.6167,81.03,81,7,3.31,clear sky
180,Hongjiang,CN,27.11,109.9956,55.83,73,0,1.14,clear sky
181,Port Hardy,CA,50.6996,-127.4199,35.6,47,90,31.07,light snow
182,Leningradskiy,RU,69.3833,178.4167,-18.08,84,100,8.08,overcast clouds
183,Sabinas Hidalgo,MX,26.5,-100.1667,47.79,57,100,6.78,overcast clouds
