City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Varkkallai,IN,2021-02-07 01:54:33,8.7341,76.7067,77.0,88,20,7.9
179,Gornoye Loo,RU,2021-02-07 01:54:34,43.7129,39.6049,44.6,87,90,11.18
180,Kruisfontein,ZA,2021-02-07 01:54:34,-34.0033,24.7314,63.0,90,1,8.34
181,Rapallo,IT,2021-02-07 01:54:34,44.3511,9.2297,52.0,89,100,3.0
182,Pochutla,MX,2021-02-07 01:54:34,15.7432,-96.4661,79.0,80,9,1.01
183,Aklavik,CA,2021-02-07 01:54:34,68.2191,-135.0107,-16.6,76,100,4.61
184,Thinadhoo,MV,2021-02-07 01:54:35,0.5333,72.9333,81.43,74,0,12.97
185,Nemuro,JP,2021-02-07 01:54:35,43.3236,145.575,24.44,97,100,10.8
186,Lata,PT,2021-02-07 01:54:35,40.1629,-8.3327,50.0,66,40,12.66
187,New Norfolk,AU,2021-02-07 01:50:56,-42.7826,147.0587,66.0,46,39,4.0
188,Odweyne,SO,2021-02-07 01:54:36,9.4092,45.064,62.91,58,0,11.9
189,Gazimurskiy Zavod,RU,2021-02-07 01:54:36,51.5461,118.3266,-8.91,86,99,0.83
190,Kailua,US,2021-02-07 01:50:33,21.4022,-157.7394,77.0,47,1,10.36
191,Shellbrook,CA,2021-02-07 01:54:36,53.2168,-106.4011,-22.0,69,20,8.05
192,Sulangan,PH,2021-02-07 01:54:36,11.1373,123.7228,80.67,81,68,12.46
193,Ribeira Grande,PT,2021-02-07 01:54:36,38.5167,-28.7,61.18,89,94,21.59
194,Natal,BR,2021-02-07 01:52:27,-5.795,-35.2094,78.8,83,40,4.61
195,Puri,IN,2021-02-07 01:54:37,19.8,85.85,64.4,77,0,3.44
196,Tessalit,ML,2021-02-07 01:54:37,20.1986,1.0114,68.63,22,100,8.72
197,Muros,ES,2021-02-07 01:54:37,42.7762,-9.0603,44.01,93,40,4.61
198,Kargasok,RU,2021-02-07 01:54:37,59.0556,80.8572,33.04,95,100,13.94
199,Oban,GB,2021-02-07 01:54:37,56.4127,-5.4706,37.99,76,21,15.01
200,Aktau,KZ,2021-02-07 01:54:38,43.65,51.2,28.4,86,0,8.95
201,Cairns,AU,2021-02-07 01:51:41,-16.9167,145.7667,89.01,74,100,5.75
