City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
577,Dicabisagan,PH,75.56,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
581,Urubicha,BO,71.6,scattered clouds,-15.3833,-62.95,
582,Moree,AU,87.8,light rain,-29.4667,149.85,Molika Springs Motel
586,Ugoofaaru,MV,80.28,overcast clouds,5.6667,73.0,Ungoofaaru Inn
587,Tutubigan,PH,83.03,clear sky,11.8397,125.0614,REMART LANG MALAKAS
589,General Roca,AR,82.4,clear sky,-39.0333,-67.5833,Hotel El Recreo
591,Caninde De Sao Francisco,BR,76.03,clear sky,-9.66,-37.7894,Xingo Parque Hotel
592,Rawson,AR,70.9,clear sky,-43.3002,-65.1023,Hosteria Sampedro
594,Oriximina,BR,78.57,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
596,Goundam,ML,73.44,clear sky,16.4145,-3.6708,
601,Sao Jose Da Coroa Grande,BR,78.98,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
602,Indramayu,ID,80.13,light rain,-6.3264,108.32,Grand Trisula Hotel
604,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
605,Kandrian,PG,87.96,light rain,-6.2167,149.55,Kandrian Station
606,Cayenne,GF,77.0,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
607,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
613,Iralaya,HN,80.6,clear sky,15.0,-83.2333,Iglesia morava renovada
617,Kankan,GN,75.18,clear sky,10.3854,-9.3057,Hotel Bate
618,Sechura,PE,79.52,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
619,Samarai,PG,84.16,broken clouds,-10.6167,150.6667,Nuli Sapi
620,Seidu,SL,71.15,clear sky,9.0167,-10.6,
623,Emerald,AU,84.2,clear sky,-23.5333,148.1667,The Irish Village
624,Porto Walter,BR,73.92,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
625,Salinopolis,BR,79.2,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
626,Tuban,ID,80.29,overcast clouds,-6.8976,112.0649,Hotel Mustika
628,Banda Aceh,ID,80.26,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
633,Booue,GA,74.34,clear sky,-0.0921,11.9385,Splendeur de l'équateur
634,Singaraja,ID,83.08,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
642,Fare,PF,81.73,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
643,Porto Velho,BR,78.8,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
654,Camopi,GF,72.66,overcast clouds,3.1655,-52.3158,
655,Aripuana,BR,74.86,scattered clouds,-9.1667,-60.6333,
656,Caravelas,BR,76.46,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
658,Labuan,MY,78.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
659,Gouyave,GD,78.8,broken clouds,12.1646,-61.7296,Rumboat Retreat
660,Sinnamary,GF,78.1,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
661,Sibolga,ID,78.89,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
666,Kathu,TH,78.8,few clouds,7.9178,98.3332,Novotel Phuket Resort
667,Plettenberg Bay,ZA,71.67,broken clouds,-34.0527,23.3716,Thanda Vista B&B
673,Dubti,ET,75.45,overcast clouds,11.7361,41.0853,degu Shiferaw
677,Ogaminana,NG,78.33,overcast clouds,7.5946,6.2248,Mashida Guest House
678,Sawtell,AU,80.6,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
681,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
682,Waipawa,NZ,71.6,clear sky,-41.4122,175.5153,Tora Coastal Walk
684,Port Augusta,AU,73.0,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
686,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
687,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
689,Terra Santa,BR,77.25,broken clouds,-2.1042,-56.4869,Hotel Sarah
695,Formosa,AR,75.2,clear sky,-26.1775,-58.1781,Asterión Hotel
710,Cabarroguis,PH,72.64,overcast clouds,16.5833,121.5,Diamond J Hotel
711,Omboue,GA,78.93,light rain,-1.5746,9.2618,Hotel Olako
